sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
85,283,HEXAWARE,HEXAWARE-I,HEXAWARE FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
86,349,MARUTI,MARUTI-I,MARUTI FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
87,-1,,PNB,PNB,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
88,87,PNB,PNB-I,PNB FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
89,54,HINDUNILVR,HINDUNILVR-I,HINDUNILVR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
90,-1,,MRF,MRF,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
91,286,BOSCHLTD,BOSCHLTD-I,BOSCHLTD FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
92,-1,,TATAMTRDVR,TATAMTRDVR,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
93,265,JSWENERGY,JSWENERGY-I,JSWENERGY FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.52E+18,1.52E+18,NSE,NSE,INR,,,,,
94,236,SBIN,SBIN-I,SBIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
95,-1,,TATACHEM,TATACHEM,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
96,145,AMBUJACEM,AMBUJACEM-I,AMBUJACEM FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
97,116,PETRONET,PETRONET-I,PETRONET FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
98,291,IDFC,IDFC-I,IDFC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
99,-1,,COALINDIA,COALINDIA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,,,,,
